title,company,location,remote_or_onsite,job_type,link,city
Sr. ColdFusion Developer with .NET,ClinDCast LLC,"Hybrid work in Schenectady, NY 12301",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=1fe537cd4c16bdb2&bb=Dcp5yyKCxlL0AeONg4abASWM6D9dx9TLduokvb1Ipb-PtQWBNICBDT8dzjVRZrfkJAHFCuzIFr2_1kYx2YVaHRw7lr-YPoY3AoBWbqR8iHpfwW4f6hygXFgf-haH6Frl1-yGbCWNtb2h690iwluDag%3D%3D&xkcb=SoCE67M3vmx0eLx7oh0CbzkdCdPP&fccid=7c1160c7a30bc202&vjs=3,Amsterdam
"Front End, Senior Web Developer",American National Insurance,"Glenmont, NY 12077",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=76aae8767523022a&bb=Dcp5yyKCxlL0AeONg4abAYXFzYfX03gRL9AI1BrB1oSGAhz_vHbHLGokuKG9Ap5yTPhdqi_bDSckuFxOBzTEPmyLIh9bpBeaOkLTzZhl_0xE4f-KJSiRL9rd1pmK2vjdhc0s42yV-AOzYQZabb9j4g%3D%3D&xkcb=SoAZ67M3vmx0eLx7oh0BbzkdCdPP&fccid=c6f06dab0431c8f3&vjs=3,Amsterdam
R&D Engineer – CV SD,Kitware,"Remote in Clifton Park, NY",Remote,Full-time,https://www.indeed.com/rc/clk?jk=a7bb7a7bd89b10ea&bb=Dcp5yyKCxlL0AeONg4abAZqWWNBN8KXYl4MkWt-HjJ4m2ZIpJu6pRPwPvZ33Khy6-wT0cmrH63Rz94apf-Dgmiw_RmkHPLy3fbzBTPR5meDqHC_FSJjK6EzlEaqCFJCUczq9Es6VlFk7Naraw-GleQ%3D%3D&xkcb=SoCt67M3vmx0eLx7oh0AbzkdCdPP&fccid=ffd98152d5e973b6&vjs=3,Amsterdam
Programmer Analyst - Integrations - Siena College,Siena College,"Loudonville, NY 12211",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=773e90ec0d232738&bb=Dcp5yyKCxlL0AeONg4abAW3QSEMYbqn022WnpiIsNnFNdhPPcy7Sm-nxop0-bX8ueTSuXUS32ce5A5bbB3ODlrR55mUkgDTpk6Tnw46MJ-GV1F5dDajX8d3DBbiE9mkd8J6w0r790UXj8mFz7ks48w%3D%3D&xkcb=SoAj67M3vmx0eLx7oh0HbzkdCdPP&fccid=7b4b24c9e24f7893&vjs=3,Amsterdam
Senior Full Stack Java Engineer – Java EE/WebSphere,Red Hill Consulting Llc,"Albany, NY 12207",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=0d8d8702dca5acb7&bb=Dcp5yyKCxlL0AeONg4abAX6uV4CfiBvQqZQovNfX1uRKr1e6Kqoljxs-ehmyg78EENKbeC4n2CLANShW0ZEPY2l0g0w0JotavxEzfBHZz3H61lHBrqDFmvftwDPf5Gsc5SkXdOR8fVHM0kY1a7uSpA%3D%3D&xkcb=SoCX67M3vmx0eLx7oh0GbzkdCdPP&fccid=758afbbafd1bcc9a&vjs=3,Amsterdam
Senior Producer,Rocket Science Group,"Hybrid work in Albany, NY",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=f80cec33405c5ad8&bb=Dcp5yyKCxlL0AeONg4abAQ1se62gFasL8KIJuRfbJLAO8wxSXhvpATPTdr2yU7gq8xG3TK3XYlFKxHjiIazs1Yhz_7YgPoKvT0Kd-z0UUth82RKiHkE6FNrz_R81CWmxJ4zAgyacvDnNuqZya9EWWQ%3D%3D&xkcb=SoAK67M3vmx0eLx7oh0FbzkdCdPP&fccid=b7754362c6f0b07b&vjs=3,Amsterdam
Java Developer - (REQUIRED -> Local only with direct NYS Agency experience),Cloud and Things Inc,"Hybrid work in Albany, NY 12202",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=9735204438128bf5&bb=uAPlQ0fjjuSd7bKEQe7ybOsaByaVO6iMAXEdd6MrnMXFRouN7tdzfvH3RAVKRIhGlOdgkgRxidv6GL998cocvoA0y4B5Ub7v5jWaHoAar4JTU7Ps5_0RTG-pUfpS6LPumOQDarYWh69Gr8T87jiMfw%3D%3D&xkcb=SoCy67M3vmxzfNAcez0LbzkdCdPP&fccid=ed7e1f9190dcfdd5&cmp=Cloud-and-Things&ti=Java+Developer&vjs=3,Amsterdam
Senior Software Engineer,New York ISO,"Rensselaer, NY 12144",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=f83d3e513c781ddc&bb=uAPlQ0fjjuSd7bKEQe7ybA_fwUkkl4WfsYizColjB-fd-m6LDu-7R4VDKVNKp__iFRX2NnxYBgOKGLtXQXJfHf2vWMtV5FlcjLZQqTYw_KBz8I9Odpy3ZBDM5VQDMxYpKK8yBd6glJkBpBH-coQ0oQ%3D%3D&xkcb=SoAG67M3vmxzfNAcez0KbzkdCdPP&fccid=b3b20d478011703a&vjs=3,Amsterdam
QA Tester,Pat N Sally Inc,"Albany, NY 12229 
(Buckingham Lake-Crestwood area)",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=10982d0c91730edf&bb=uAPlQ0fjjuSd7bKEQe7ybIrnA3uBFD76BmBqg_Fgx_322VWF_lLQEJBXkBi9nre891-Eow8yunCoDE6dTqxVt8DPCYNep-OhUkw_3AY1hJ2Ei9SDZioxSXNVG9f0BfQe4yObrNIb37P4iWBqXyZb2w%3D%3D&xkcb=SoCb67M3vmxzfNAcez0JbzkdCdPP&fccid=cf0bb54ab5694cc8&cmp=Pat-N-Sally-Inc&ti=Quality+Assurance+Tester&vjs=3,Amsterdam
.NET Developer,Alpha Net Consulting LLC.,"Albany, NY",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=5d97963f50ab7a75&bb=uAPlQ0fjjuSd7bKEQe7ybGzCJBQomONcyE_SIu_jfxK0zIUXN7JAK-x691vvI-OGUN08pK3JZ5d8iSjWb7Be52SQOdUVzQC-FRJoTlfMSS9elgK50jT86nYsd9HFmXCGKaxomHed-BwUl1vghboCrQ%3D%3D&xkcb=SoAv67M3vmxzfNAcez0IbzkdCdPP&fccid=c3137e7baa48925a&vjs=3,Amsterdam
